"charge_id","customer_id","payment_intent_id","invoice_id","created","currency","amount","card_brand","card_type","card_input_method","card_country","outcome_type","block_reason","failure_reason","attributable_optimization","is_final_attempt","final_charge_id","used_network_tokens","interaction_type","retry_status","gateway_conversation_avs_outcome","gateway_conversation_cvc_outcome","three_d_s_outcome"
"ch_3SL5KqIZCv5wsm2Y2bajO5GD","cu_1SL5IgIZCv5wsm2Yn1pVStfu","pi_3SL5KqIZCv5wsm2Y2URGXK4K",,"2025-10-22 16:56:29.000","usd","51524","visa","credit","card_not_present","US","authorized",,,,"true","ch_3SL5KqIZCv5wsm2Y2bajO5GD","false","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-passed","no_tds"
"ch_3SKqA8IZCv5wsm2Y1Tj7CCan","cu_1SKq9UIZCv5wsm2YN8FM8b89","pi_3SKqA8IZCv5wsm2Y1n6OFhpX","in_1SKqA8IZCv5wsm2Y8e6SZ1DP","2025-10-22 00:44:25.000","usd","4000","visa","credit","apple_pay","US","authorized",,,,"true","ch_3SKqA8IZCv5wsm2Y1Tj7CCan","false","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-not-sent","no_tds"
"ch_3SK8yMIZCv5wsm2Y1OH7MEAJ","cu_1SK8xDIZCv5wsm2Ygs662V71","pi_3SK8yMIZCv5wsm2Y1UVsOAXc","in_1SK8yMIZCv5wsm2YDLBw7k0i","2025-10-20 02:37:23.000","usd","2503","visa","debit","card_not_present","US","authorized",,,,"true","ch_3SK8yMIZCv5wsm2Y1OH7MEAJ","false","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-passed","no_tds"
"ch_3SJMdSIZCv5wsm2Y1hbeaAww","cu_1SJMcqIZCv5wsm2YtERimJDx","pi_3SJMdSIZCv5wsm2Y1sOU53zX","in_1SJMdRIZCv5wsm2Y6UU8Ye75","2025-10-17 23:00:34.000","usd","5180","discover","credit","card_not_present","US","authorized",,,,"true","ch_3SJMdSIZCv5wsm2Y1hbeaAww","false","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-not-sent","no_tds"
"ch_3SJMcKIZCv5wsm2Y2OV5laKi","cu_1SJMc0IZCv5wsm2Y7UT3ou9E","pi_3SJMcKIZCv5wsm2Y2lS7La31","in_1SJMcKIZCv5wsm2YdE9yN4Zh","2025-10-17 22:59:24.000","usd","5180","mastercard","credit","apple_pay","US","authorized",,,,"true","ch_3SJMcKIZCv5wsm2Y2OV5laKi","false","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-not-sent","no_tds"
"ch_3SJFT1IZCv5wsm2Y0U7oPv5R","cu_1SJFS7IZCv5wsm2Y3EOTPO1T","pi_3SJFT1IZCv5wsm2Y0vFkYL5S",,"2025-10-17 15:21:20.000","usd","2606","visa","debit","card_not_present","US","authorized",,,,"true","ch_3SJFT1IZCv5wsm2Y0U7oPv5R","true","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-passed","no_tds"
"ch_3SIY95IZCv5wsm2Y2Onfa8UL","cu_1SIY8dIZCv5wsm2YuxEvTtzF","pi_3SIY95IZCv5wsm2Y2HQwlBdq","in_1SIY95IZCv5wsm2YMexuhIxJ","2025-10-15 17:05:51.000","usd","25778","visa","credit","apple_pay","US","authorized",,,,"true","ch_3SIY95IZCv5wsm2Y2Onfa8UL","false","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-not-sent","no_tds"
"ch_3SIIBdIZCv5wsm2Y1BFRHNrC","cu_1SII8wIZCv5wsm2YyLg4RggR","pi_3SIIBdIZCv5wsm2Y1tN438VK","in_1SIIBdIZCv5wsm2YJnuq1k8E","2025-10-15 00:03:26.000","usd","5180","visa","debit","card_not_present","US","authorized",,,,"true","ch_3SIIBdIZCv5wsm2Y1BFRHNrC","true","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-not-sent","no_tds"
"ch_3SII9WIZCv5wsm2Y1fs6LLt6","cu_1SII8wIZCv5wsm2YyLg4RggR","pi_3SII9WIZCv5wsm2Y1IzMZDiM","in_1SII9WIZCv5wsm2YHhJ91E3h","2025-10-15 00:01:15.000","usd","5180","visa","debit","card_not_present","US","authorized",,,,"true","ch_3SII9WIZCv5wsm2Y1fs6LLt6","true","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-not-sent","no_tds"
"ch_3SH8wwIZCv5wsm2Y19xalWVO","cu_1SH8vvIZCv5wsm2YUJqBuGOE","pi_3SH8wwIZCv5wsm2Y1SKIgCPt","in_1SH8wwIZCv5wsm2YCHBo4yW2","2025-10-11 19:59:31.000","usd","2606","visa","debit","card_not_present","US","authorized",,,,"true","ch_3SH8wwIZCv5wsm2Y19xalWVO","false","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-passed","no_tds"
"ch_3SH5ybIZCv5wsm2Y0k0zGnVe","cu_1SEf8aIZCv5wsm2YPBKvF9Rl","pi_3SH5ybIZCv5wsm2Y0Up6AFQC","in_1SH5ybIZCv5wsm2YlZPfkmvb","2025-10-11 16:49:02.000","usd","546","visa","credit","card_not_present","US","authorized",,,,"true","ch_3SH5ybIZCv5wsm2Y0k0zGnVe","true","customer_initiated_saved_card","initial_attempt","avs-zip-passed","cvc-not-sent","no_tds"
